127.0.0.1 - - [08/Nov/2022:14:12:22 +0530] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Nov/2022:14:12:23 +0530] "GET /SessionMan_Demo/index.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [08/Nov/2022:14:12:36 +0530] "POST /SessionMan_Demo/RegisterServelt HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [08/Nov/2022:14:53:12 +0530] "GET /project1Servelet/dashboard.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:06:53 +0530] "GET /project1Servelet/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:06:55 +0530] "POST /project1Servelet/DashboardSer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:06:55 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:08 +0530] "GET /project1Servelet/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:09 +0530] "GET /project1Servelet/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:09 +0530] "GET /project1Servelet/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:10 +0530] "GET /project1Servelet/dashboard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:11 +0530] "POST /project1Servelet/DashboardSer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:11 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:14 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:51 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:09:55 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:10:29 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:10:31 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:11:43 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:11:44 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:12:36 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:12:37 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:13:28 +0530] "GET /project1Servelet/showstudentlist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:13:30 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:13:42 +0530] "POST /project1Servelet/StudentListSer HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:13:48 +0530] "POST /project1Servelet/DashboardSer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:13:49 +0530] "GET /project1Servelet/updatestudent.html HTTP/1.1" 200 313
